orig_texts	orig_labels	orig_predictions	orig_z	edits_texts	edits_labels	edits_predictions	edits_z_pre	edits_z_pos
▁Man ▁and ▁ a ▁child ▁at ▁an ▁exhibit ▁booth ▁looking ▁at ▁something . </s> ▁A ▁woman ▁and ▁her ▁dog ▁are ▁eating ▁breakfast . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁Man ▁and ▁ a ▁child ▁at ▁an ▁exhibit ▁booth ▁looking ▁at ▁something . </s> ▁A ▁woman ▁and ▁her ▁daughter ▁are ▁looking ▁at ▁something . </s>	0	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]
▁A ▁young ▁couple ▁sitting ▁in ▁ a ▁black ▁chair ▁smiling . </s> ▁Two ▁young ▁people ▁are ▁angry . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁young ▁couple ▁sitting ▁in ▁ a ▁black ▁chair ▁smiling . </s> ▁Two ▁people ▁are ▁sitting ▁down . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]
▁A ▁brown ▁dog ▁is ▁in ▁the ▁middle ▁of ▁ a ▁line ▁of ▁dogs ▁ chasing ▁ a ▁dirty ▁tennis ▁ball ▁over ▁dirt . </s> ▁The ▁tennis ▁ball ▁is ▁clean . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]	▁A ▁brown ▁dog ▁is ▁in ▁the ▁middle ▁of ▁ a ▁line ▁of ▁dogs ▁ chasing ▁ a ▁dirty ▁tennis ▁ball ▁over ▁dirt . </s> ▁The ▁dogs ▁are ▁outside . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]
▁A ▁young ▁gymnas t ▁looks ▁back ▁at ▁the ▁audience , ▁trying ▁to ▁catch ▁ a ▁glimpse ▁of ▁her ▁proud ▁parents ▁before ▁starting ▁her ▁performance . </s> ▁A ▁gymnas t ▁scanning ▁ a ▁crowd ▁for ▁familiar ▁faces . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]	▁A ▁young ▁gymnas t ▁looks ▁back ▁at ▁the ▁audience , ▁trying ▁to ▁catch ▁ a ▁glimpse ▁of ▁her ▁proud ▁parents ▁before ▁starting ▁her ▁performance . </s> ▁A ▁gymnas t ▁is ▁sitting ▁on ▁ a ▁bench . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁Two ▁bear de d ▁men ▁sit ▁side ▁by ▁side . </s> ▁Two ▁men ▁are ▁sitting ▁down . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁Two ▁bear de d ▁men ▁sit ▁side ▁by ▁side . </s> ▁Two ▁men ▁are ▁standing . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁Two ▁people ▁bicycle ▁on ▁ a ▁path ▁separated ▁by ▁small ▁mountains . </s> ▁Two ▁people ▁are ▁riding ▁on ▁bikes ▁outside . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]	▁Two ▁people ▁bicycle ▁on ▁ a ▁path ▁separated ▁by ▁small ▁mountains . </s> ▁Two ▁people ▁are ▁swimming . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁group ▁of ▁swimmer s ▁jump ▁into ▁ a ▁pool . </s> ▁A ▁group ▁of ▁swimmer s ▁are ▁sitting ▁on ▁an ▁airplane ▁on ▁the ▁way ▁to ▁their ▁swimming ▁competition . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁A ▁group ▁of ▁swimmer s ▁jump ▁into ▁ a ▁pool . </s> ▁A ▁group ▁of ▁swimmer s ▁are ▁doing ▁an ▁activity ▁on ▁the ▁pool ▁before ▁their ▁dive . </s>	0	1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁Two ▁boys ▁with ▁ blo nd - hair , ▁wearing ▁ striped ▁ shirts ▁on ▁ a ▁bed . </s> ▁Children ▁playing ▁in ▁the ▁park . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁Two ▁boys ▁with ▁ blo nd - hair , ▁wearing ▁ striped ▁ shirts ▁on ▁ a ▁bed . </s> ▁Boys ▁are ▁on ▁the ▁bed . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁crowd ▁of ▁people ▁in ▁ a ▁stadium ▁deck e d ▁out ▁in ▁white , ▁yellow ▁and ▁green ▁cheer ▁and ▁ cla p ▁for ▁the ▁team ▁below . </s> ▁ a ▁cr w o d ▁is ▁cheer ing </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁crowd ▁of ▁people ▁in ▁ a ▁stadium ▁deck e d ▁out ▁in ▁white , ▁yellow ▁and ▁green ▁cheer ▁and ▁ cla p ▁for ▁the ▁team ▁below . </s> ▁ a ▁bull d o d ▁is ▁bark ing </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁young ▁girl ▁is ▁standing ▁in ▁ a ▁kitchen ▁holding ▁ a ▁green ▁ bib . </s> ▁A ▁boy ▁is ▁playing ▁with ▁ a ▁fire truck . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁A ▁young ▁girl ▁is ▁standing ▁in ▁ a ▁kitchen ▁holding ▁ a ▁green ▁ bib . </s> ▁A ▁girl ▁is ▁holding ▁ a ▁ bib . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁male ▁with ▁ a ▁pros thetic ▁leg ▁diving ▁for ▁ a ▁volleyball . </s> ▁The ▁male ▁has ▁at ▁least ▁one ▁pros thetic ▁leg . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁male ▁with ▁ a ▁pros thetic ▁leg ▁diving ▁for ▁ a ▁volleyball . </s> ▁The ▁man ▁has ▁only ▁one ▁pros thetic ▁leg . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁group ▁of ▁female ▁athletes ▁are ▁ h uddle d ▁together ▁and ▁excited . </s> ▁The ▁group ▁of ▁athletes ▁all ▁can ▁breathe ▁underwater . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]	▁A ▁group ▁of ▁female ▁athletes ▁are ▁ h uddle d ▁together ▁and ▁excited . </s> ▁The ▁group ▁of ▁female ▁athletes ▁are ▁excited . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁Two ▁sweet ▁young ▁girls ▁on ▁ ice ▁skate s , ▁hands ▁up ▁and ▁holding ▁on ▁to ▁each ▁other ▁get ▁ready ▁to ▁begin ▁their ▁performance ▁on ▁the ▁ ice . </s> ▁Two ▁female s ▁holding ▁each ▁other . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	▁Two ▁sweet ▁young ▁girls ▁on ▁ ice ▁skate s , ▁hands ▁up ▁and ▁holding ▁on ▁to ▁each ▁other ▁get ▁ready ▁to ▁begin ▁their ▁performance ▁on ▁the ▁ ice . </s> ▁Two ▁girls ▁ride ▁skate board s ▁away ▁from ▁each ▁other . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
▁A ▁white ▁man ▁taking ▁ a ▁photo ▁in ▁front ▁of ▁water . </s> ▁A ▁man ▁is ▁in ▁front ▁of ▁water . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁white ▁man ▁taking ▁ a ▁photo ▁in ▁front ▁of ▁water . </s> ▁A ▁woman ▁taking ▁pictures ▁of ▁water . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁Many ▁roller ▁der by ▁players ▁skating ▁around ▁the ▁ rink . </s> ▁roller ▁der by ▁players ▁ laying ▁down ▁after ▁the ▁match . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁Many ▁roller ▁der by ▁players ▁skating ▁around ▁the ▁ rink . </s> ▁Roller ▁der by ▁players ▁ s k ating ▁around ▁the ▁arena . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁man ▁and ▁woman ▁setup ▁ a ▁camera . </s> ▁Two ▁people ▁setup ▁ a ▁device </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]	▁A ▁man ▁and ▁woman ▁setup ▁ a ▁camera . </s> ▁Nobody ▁setup ▁ a ▁camera </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]
▁A ▁girl ▁in ▁ a ▁black ▁sweater ▁and ▁jeans ▁pour s ▁water ▁into ▁an ▁empty ▁soda ▁bottle . </s> ▁A ▁girl ▁pour s ▁water ▁into ▁the ▁ocean </s>	2	1	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]	▁A ▁girl ▁in ▁ a ▁black ▁sweater ▁and ▁jeans ▁pour s ▁water ▁into ▁an ▁empty ▁soda ▁bottle . </s> ▁A ▁girl ▁pour s ▁water ▁into ▁the ▁bottle </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]
▁A ▁man ▁in ▁jeans ▁and ▁ a ▁brown ▁shirt ▁jump s ▁high ▁in ▁the ▁air ▁in ▁ a ▁living ▁room ▁that ▁has ▁ a ▁fireplace ▁and ▁wooden ▁floor . </s> ▁ a ▁guy ▁in ▁brown ▁jump s ▁up ▁in ▁ a ▁room ▁with ▁ a ▁wood ▁floor </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]	▁A ▁man ▁in ▁jeans ▁and ▁ a ▁brown ▁shirt ▁jump s ▁high ▁in ▁the ▁air ▁in ▁ a ▁living ▁room ▁that ▁has ▁ a ▁fireplace ▁and ▁wooden ▁floor . </s> ▁ a ▁man ▁in ▁jeans ▁jump s ▁up ▁and ▁down ▁in ▁ a ▁room ▁with ▁ a ▁fireplace </s>	2	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]
▁A ▁lady ▁in ▁ a ▁red ▁shirt ▁and ▁bi kin i ▁bottom s ▁is ▁about ▁to ▁go ▁surfing ▁on ▁ a ▁blue ▁board ▁in ▁the ▁ocean . </s> ▁A ▁woman ▁is ▁surfing ▁in ▁her ▁pool . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁lady ▁in ▁ a ▁red ▁shirt ▁and ▁bi kin i ▁bottom s ▁is ▁about ▁to ▁go ▁surfing ▁on ▁ a ▁blue ▁board ▁in ▁the ▁ocean . </s> ▁A ▁lady ▁is ▁getting ▁her ▁surf board ▁ready . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]
▁A ▁team ▁of ▁surgeon s ▁operate ▁on ▁ a ▁female ▁patient . </s> ▁The ▁surgeon s ▁are ▁operating ▁on ▁ a ▁male ▁patient . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁A ▁team ▁of ▁surgeon s ▁operate ▁on ▁ a ▁female ▁patient . </s> ▁The ▁surgeon s ▁are ▁operating ▁on ▁ a ▁patient . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁Man ▁and ▁woman ▁row ing ▁on ▁surf board s ▁third ▁row er ▁in ▁distance . </s> ▁Couple s ▁row ing ▁on ▁surf board s . </s>	0	1	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]	▁Man ▁and ▁woman ▁row ing ▁on ▁surf board s ▁third ▁row er ▁in ▁distance . </s> ▁Dog s ▁row ing ▁on ▁surf board s . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
▁A ▁kid ▁slides ▁down ▁ a ▁yellow ▁slide ▁into ▁ a ▁swimming ▁pool . </s> ▁The ▁child ▁slides ▁into ▁the ▁pool . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁kid ▁slides ▁down ▁ a ▁yellow ▁slide ▁into ▁ a ▁swimming ▁pool . </s> ▁The ▁kid ▁is ▁on ▁the ▁slide . </s>	2	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁ a ▁young ▁girl ▁looking ▁down ▁through ▁some ▁leaves ▁from ▁ a top ▁ a ▁tree . </s> ▁There ▁is ▁ a ▁girl ▁outdoors . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁ a ▁young ▁girl ▁looking ▁down ▁through ▁some ▁leaves ▁from ▁ a top ▁ a ▁tree . </s> ▁Nobody ▁has ▁ a ▁tree . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
